Company,RSS Feed URL
ROLLER GmbH & Co. KG,https://news.google.com/rss/search?q=%22ROLLER+GmbH+%26+Co.+KG%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
POCO Einrichtungsmärkte GmbH,https://news.google.com/rss/search?q=%22POCO+Einrichtungsmärkte+GmbH%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
Airbus,https://news.google.com/rss/search?q=%22Airbus%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
Lufthansa,https://news.google.com/rss/search?q=%22Lufthansa%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
IKEA,https://news.google.com/rss/search?q=%22IKEA%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
Bauhaus,https://news.google.com/rss/search?q=%22Bauhaus%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
JYSK,https://news.google.com/rss/search?q=%22JYSK%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
Knuspr,https://news.google.com/rss/search?q=%22Knuspr%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
Carglass,https://news.google.com/rss/search?q=%22Carglass%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
Leroy Merlin,https://news.google.com/rss/search?q=%22Leroy+Merlin%22+(innovation+OR+HR+OR+production+OR+business+OR+strategy+OR+leadership+OR+sustainability+OR+ESG+OR+digital+transformation+OR+AI+OR+mergers+OR+acquisitions+OR+finance+OR+operations+OR+supply+chain+OR+management)&hl=en&gl=US&ceid=US:en
